id,name,brand,city
345,"KRAUTHAUSEN NORDSEITE, BAB 4.",Shell,KRAUTHAUSEN NORDSEITE
346,Aral Tankstelle,ARAL,Schmalkalden
347,star Tankstelle,STAR,Schmalkalden
348,Esso Tankstelle,ESSO,BAD BLANKENBURG
349,Esso Tankstelle,ESSO,ICHTERSHAUSEN
350,"ERFURT, STOTTERNHEIMER STR.",Shell,ERFURT
351,Tankstelle Suhl,W. Dorst,Suhl
352,Aral Tankstelle,ARAL,Sonneberg
353,"Bad Langensalza, Poststr. 12",HEM,Bad Langensalza
354,Aral Tankstelle,ARAL,Weimar
355,Freie Tankstelle,1A Tank,Zella-Mehlis
356,Kappe Tank-& Raststaetten GmbH,BFT,Mittelpoellnitz
357,"SAALFELD, MITTLERER WATZENBACH",Shell,SAALFELD
358,Freie,1A Tank,Gotha
359,Sprint Wandersleben Das Steinfeld,Sprint,Wandersleben
360,Gulf Schalkau,GULF,Schalkau
361,ELAN BLANKENHAIN,ELAN,BLANKENHAIN
362,OIL! Tankstelle Frauenprießnitz,OIL!,Frauenprießnitz
363,Fahrzeugservice GmbH Kirchheim,freie,Kirchheim
364,"Aral Tankstelle, BAT THÜRINGER WALD SÜD",ARAL,Geraberg
365,Agri Futura GmbH,Raiffeisen,Magdala
366,star Tankstelle,STAR,Saalfeld
367,AVEX Treffurt,AVEX,Treffurt
368,Aral Tankstelle,ARAL,Arnstadt
369,bft Weimar,GREBE,Weimar-Gelmeroda
370,TOTAL AUTOHOF LAUCHA,TOTAL,LAUCHA
371,"WASUNGEN, AM RAESCHEN.",Shell,Wasungen
372,Aral Tankstelle,ARAL,Gera
373,Aral Tankstelle,ARAL,Erfurt
374,Altenburger Land Süd,TOTAL,Schmölln (OT Weißbach)
375,H & F Logistik GmbH,H & F Logistik GmbH,Nordhausen
376,Supermarkt JENA,Supermarkt,JENA
377,Sprint Uder Strasse der Einheit,Sprint,Uder
378,Wingenfeld Energie GmbH,,Bad Salzungen-Langenfeld
379,Wingenfeld Energie Gmbh,Wingenfeld Energie Gmbh,Bad Salzungen
380,Aral Tankstelle,ARAL,Kahla
381,star Tankstelle,STAR,Erfurt
382,star Tankstelle,STAR,Nordhausen
383,star Tankstelle,STAR,Erfurt
384,Globus Handelshof GmbH & Co. KG  Betriebsstaette Mittelhausen,Globus SB Warenhaus,Mittelhausen
385,"SCHLEUSINGEN, SUHLER STR",Shell,Schleusingen
386,star Tankstelle,STAR,Schleiz
387,"FLOH, KÖRLER STR.",Shell,Floh
388,TOTAL ERFURT,TOTAL,ERFURT
389,AVEX Menteroda,AVEX,Menteroda
390,AVIA Tankstelle,AVIA,Stadtroda
391,Auto-Service Bischoff GmbH,AVIA,Eisfeld
392,Raiffeisen Tankstelle Rudolstadt,Raiffeisen,Rudolstadt
393,"Jena, Rudolstädter Str. 89",HEM,Jena
394,Aral Tankstelle,ARAL,Nordhausen
395,Aral Tankstelle,ARAL,Eisenach
396,HTH Hugo Tankstellenbetrieb Hohenroda,Freie Tankstelle,Dippach
397,JET SUHL WUERZBURGER STR. 3,JET,SUHL
398,JET NORDHAUSEN PARKALLEE 14,JET,NORDHAUSEN
399,Esso Tankstelle,ESSO,LOEBICHAU
400,Guenther Tank,bft,Berka
401,TOTAL SCHOENSTEDT,TOTAL,SCHOENSTEDT
402,Aral Tankstelle,ARAL,Jena
403,Q1 Tankstelle,Q1,Dorndorf
404,Honsel TS Mühlh.1,Honsel,Mühlhausen
405,Hengst Sylvia,bft - Walther,Sondershausen
406,Globus Handelshof GmbH & Co. KG Betriebsstätte Hermsdorf,Globus SB Warenhaus,Hermsdorf
407,Gulf Ranis,GULF,Ranis
408,Münchenbernsdorf,BFT,Münchenbernsdorf
409,"TRIPTIS, NEUSTAEDTER STR.",Shell,TRIPTIS
410,ILMENAU - BUECHELOHER STR./B 87,Agip,Ilmenau
411,K- Griesheim,freie,Ilmtal
412,Aral Tankstelle,ARAL,Weimar
